-2.972067	-71	62	133
331.316384	-453	417	870
-2.620879	-73	62	135
-237.388889	-687	-161	526
-1.434783	-100	62	162
-4.384615	-404	706	1110
-3.129730	-79	62	141
75.256831	-597	160	757
-1.819149	-65	62	127
158.221622	-549	243	792
-2.555556	-70	62	132
203.112903	-519	287	806
0.668421	-65	62	127
228.265957	-501	316	817
-0.901554	-66	62	128
239.705263	-498	322	820
1.010309	-66	62	128
217.333333	-510	298	808
-2.704082	-67	62	129
193.386598	-537	282	819
-1.888325	-72	62	134
134.841026	-576	220	796
-5.500000	-89	62	151
98.654822	-371	803	1174
-1.885572	-67	62	129
-157.860000	-628	-81	547
-2.344828	-69	62	131
-300.995050	-737	-217	520
-0.737864	-62	62	124
330.157635	-474	414	888
-1.601942	-72	62	134
138.529412	-576	224	800
-1.138756	-66	62	128
-152.280193	-622	-74	548
-1.914692	-84	62	146
-376.062201	-807	-302	505
-2.140845	-68	62	130
166.695238	-564	250	814
-1.032558	-66	62	128
-192.488263	-658	-98	560
-1.888889	-68	62	130
326.779343	-480	410	890
-2.197248	-95	62	157
30.537037	-389	771	1160
5.269406	-90	38	128
-414.220183	-822	-310	512
-0.545045	-87	62	149
108.118721	-365	734	1099
-1.571429	-86	62	148
-394.063063	-812	-318	494
-1.404444	-92	62	154
64.977578	-380	756	1136
-2.343612	-71	62	133
354.928571	-465	439	904
-1.947368	-108	62	170
-53.118943	-428	730	1158
-1.705628	-65	62	127
237.377193	-531	323	854
-1.510730	-64	62	126
-322.935065	-778	-244	534
37.450644	-90	38	128
86.467532	-374	778	1152
-1.144068	-65	62	127
296.510730	-501	378	879
-1.308017	-66	62	128
-341.220339	-766	-262	504
-1.297071	-96	62	158
23.184874	-392	774	1166
-2.041494	-68	62	130
225.246862	-540	310	850
-3.407407	-92	62	154
56.033333	-892	489	1381
-1.622951	-72	62	134
-278.032922	-706	-206	500
-2.631579	-95	62	157
31.791837	-389	791	1180
-2.983871	-71	62	133
172.914634	-567	256	823
-2.533865	-83	62	145
321.338710	-495	406	901
-2.167331	-84	62	146
-464.332000	-868	-381	487
-1.972441	-85	62	147
-329.992063	-748	-257	491
-2.156863	-77	62	139
-204.909449	-640	-125	515
-2.369650	-97	62	159
19.500000	-395	880	1275
-1.397683	-84	62	146
56.887160	-612	142	754
-1.676923	-72	62	134
156.348837	-576	238	814
-0.874525	-66	62	128
219.692308	-546	302	848
-0.807547	-74	62	136
283.236641	-522	366	888
-1.707865	-65	62	127
353.015152	-501	437	938
-2.291045	-77	62	139
370.199248	-489	454	943
-1.340741	-68	62	130
382.194757	-480	466	946
-3.323529	-67	61	128
385.728625	-477	470	947
-1.494505	-68	62	130
384.833948	-480	468	948
-2.297101	-77	62	139
374.619048	-489	458	947
-1.600719	-65	62	127
358.901818	-501	443	944
-1.546763	-66	62	128
312.014493	-516	396	912
-1.928571	-67	62	129
246.169065	-537	329	866
-1.816254	-68	62	130
211.057143	-564	294	858
-1.183099	-78	62	140
128.822695	-594	210	804
37.552448	-90	38	128
105.549296	-374	906	1280
-1.860627	-103	62	165
-18.786713	-413	887	1300
-0.468966	-74	62	136
-256.000000	-670	-166	504
-0.547945	-66	62	128
-373.075862	-766	-302	464
-1.764505	-84	62	146
-486.965753	-868	-399	469
-2.569492	-74	54	128
398.095563	-486	474	960
-0.756757	-66	62	128
259.346939	-546	342	888
-2.782609	-83	62	145
79.716216	-609	164	773
-2.983389	-106	54	160
-43.083612	-422	890	1312
0.613861	-82	62	144
-353.401993	-742	-278	464
-3.342105	-92	62	154
374.645695	-892	597	1489
-2.343137	-70	62	132
332.000000	-519	415	934
-1.778502	-80	62	142
112.970492	-600	196	796
-1.938511	-109	62	171
-64.048860	-431	900	1331
-2.602564	-79	62	141
-427.190323	-796	-330	466
-2.536741	-74	54	128
413.241158	-486	490	976
-2.533333	-74	54	128
174.307692	-582	250	832
-2.120253	-107	62	169
-48.412698	-425	934	1359
-2.713836	-65	62	127
-452.760252	-808	-370	438
-1.146417	-64	62	126
374.081761	-504	456	960
-1.496894	-84	62	146
71.000000	-612	154	766
-10.148607	-58	38	96
-332.559006	-694	-246	448
-1.661538	-68	62	130
497.009288	-456	580	1036
-2.548780	-71	62	133
199.030769	-573	281	854
-1.735562	-67	62	129
-227.182927	-628	-152	476
-0.851964	-86	62	148
-569.036364	-874	-466	408
-1.801205	-67	62	129
232.342424	-561	316	877
-0.495522	-66	62	128
-219.969970	-622	-134	488
5.525223	-90	38	128
339.389222	-950	650	1600
-0.355030	-70	62	132
209.333333	-570	290	860
-0.835294	-66	62	128
-276.513274	-658	-202	456
-1.973607	-71	62	133
507.356932	-465	592	1057
0.697674	-82	62	144
99.360704	-606	178	784
1.060870	-82	62	144
-400.325581	-742	-318	424
-1.682997	-65	62	127
387.139130	-513	471	984
-2.209169	-101	62	163
18.660920	-407	1062	1469
-1.400000	-86	62	148
-582.429799	-936	-470	466
-2.252125	-75	62	137
170.282857	-585	252	837
-1.492958	-76	62	138
-385.110482	-730	-290	440
-2.170868	-70	62	132
370.822034	-519	454	973
-2.983240	-106	54	160
-24.823529	-422	1034	1456
